asunto,categoria
"Acciones concretas para fomentar, promocionar o incentivar entre las compañías aéreas el uso de la quinta libertad aérea y el territorio de canarias en 2021 y 2022, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Acciones en fitur 2022 para fomentar los productos agroalimentarios, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Acciones llevadas a cabo para la promoción del acogimiento familiar en todas sus modalidades, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Acciones para desarrollar el plan de frutas y verduras en los centros educativos en este curso 2021/2022, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Acciones para disminuir la brecha científica y tecnológica en el mundo rural, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",EDUCACIÓN Y COMUNICACIÓN
"Acciones para la atención e intervención con menores en riesgo de exclusión social durante 2021, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Acciones previstas para la atención e intervención con menores en riesgo de exclusión social durante 2022, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Acciones que se están llevando a cabo para la atención a jóvenes extutelados, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Acciones que se están llevando a cabo para reactivar el comercio en 2022, dirigida a la sra. consejera de turismo, industria y comercio.",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"Acciones que se han desarrollado para la realización de los protocolos contra la mutilación genital femenina, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.",ASUNTOS SOCIALES
"Acciones que se llevaron a cabo para atraer empresas e inversión del reino unido a raíz del brexit durante 2019, 2020, 2021, dirigida al sr. consejero de hacienda, presupuestos y asuntos europeos.",ASUNTOS FINANCIEROS
"Acciones realizadas en el compromiso con la reducción de las emisiones generadas por las actividades vinculadas al turismo, dentro de los objetivos de la estrategia canarias destino, dirigida a la sra. consejera de turismo, industria y comercio.",MEDIO AMBIENTE
"Acciones, ayudas y programas específicos para fuerteventura y lanzarote llevados a cabo para evitar el desplome de la economía de estas islas durante 2020 y 2021, dirigida a la sra. consejera de economía, conocimiento y empleo.",ECONOMÍA
"Acogimiento a subvenciones del transporte de mercancías interinsular por parte de las empresas de economía circular, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRANSPORTES
"Activación de un servicio a menores con graves trastornos de conducta financiado con 4,2 millones de euros para 14 plazas, dirigida al sr. consejero de sanidad.",ASUNTOS SOCIALES
"Actuaciones a realizar en el puerto de órzola, haría, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Actuaciones en la mejora del frente marítimo desde la basílica hasta el parking del muelle en candelaria, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.",MEDIO AMBIENTE
"Actuaciones en relación a los pescadores de recreo que acusan movilidad reducida para que cuenten con lugares habilitados para la práctica de su actividad, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para el hierro, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para fuerteventura, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para la gomera, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para la palma, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para lanzarote, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para tenerife, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones para definir tallas mínimas en especies pesqueras de gran interés comercial para cumplir con la legislación europea y estatal y garantizar la sostenibilidad del sector pesquero a largo plazo, dirigida a la sra. consejera de agricultura, ganadería y pesca.","AGRICULTURA, SILVICULTURA Y PESCA"
"Actuaciones para paliar la brecha digital de las pymes y autónomos, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Actuaciones para paliar la brecha digital por falta de competencias digitales entre la población canaria, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Actuaciones para paliar la brecha digital por falta de conectividad, dirigida a la sra. consejera de economía, conocimiento y empleo.",TRABAJO Y EMPLEO
"Actuaciones previstas del consejo canario del deporte y financiación prevista para las mismas, dirigida a la sra. consejera de educación, universidades, cultura y deportes.",ASUNTOS SOCIALES
"Actuaciones previstas en el puerto de caleta de sebo, la graciosa, dirigida al sr. consejero de obras públicas, transportes y vivienda.",INDUSTRIA
"Actuaciones previstas para la mejora en el acceso al polígono industrial de güímar por la rotonda de el carretón, dirigida al sr. consejero de obras públicas, transportes y vivienda.",TRANSPORTES
"Actuaciones previstas para mejorar de forma inmediata o a corto plazo las instalaciones del servicio de urgencias del hospital nuestra señora de los reyes, dirigida al sr. consejero de sanidad.",INDUSTRIA
