ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PE-4504","10","La vinculación del otorgamiento de la concesión para la explotación de la cantera denominada san josé, a la necesidad de la concesión del uso del puerto de santa águeda, dirigida a la sra. consejera de turismo, industria y comercio.","2022-01-28","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4505","10","Precepto legal por el que se ha dado de baja de oficio a dos alumnos del ies teror, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-01-28","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4498","10","Iniciativas adoptadas en los últimos tres meses para garantizar el derecho a la práctica del deporte a nivel federativo a los menores extranjeros no acompañados, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","2022-01-27","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4499","10","El coste del catálogo que presentó gmr en fitur para la venta de productos canarios en una plataforma digital, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-01-27","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4500","10","La empresa adjudicataria del concurso para vender telemáticamente productos canarios en el exterior, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-01-27","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4544","10","Medidas de control  y actualizaciones que se han llevado a cabo para evitar la proliferación de cianobacterias en el litoral canario, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","2022-02-15","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4545","10","La planificación de tramitación y aprobación de leyes y reglamentos, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-15","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4546","10","La promoción de nuestros productos agroalimentarios en fitur 2022, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-02-15","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4438","10","Municipios en los que se han rehabilitado viviendas en 2021 en el marco de ejecución del plan de vivienda 2020-2025, dirigida al sr. consejero de obras públicas, transportes y vivienda.","2022-01-17","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4440","10","Número de sanitarios contagiados por covid-19 en diciembre de 2021 y primeros 15 días de enero de 2022, desglosado por días, dirigida al sr. consejero de sanidad.","2022-01-17","Cerrada","Ordinario","Retirada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4441","10","Número de defunciones producidas durante 2021, con detalle de causa de muerte covid-19, sospecha de covid-19, gripe y patologías oncológicas, dirigida al sr. consejero de sanidad.","2022-01-17","Cerrada","Ordinario","Retirada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4442","10","Medidas implementadas para paliar la caída de las exportaciones en el sector del tomate, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-01-17","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4445","10","Número de empresas que se presentaron para desarrollar la plataforma canarian market, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-01-17","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4446","10","Objetivos fijados para la plataforma canarian market para el primer semestre de 2022, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-01-17","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4547","10","Número de procedimientos sancionadores que se ejecutaron en 2020-2021 por infracciones a los pescadores profesionales, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-02-15","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4548","10","Número de procedimientos sancionadores que se ejecutaron en 2020-2021 por infracciones a los pescadores recreativos, dirigida a la sra. consejera de agricultura, ganadería y pesca.","2022-02-15","Cerrada","Ordinario","Contestada","PREGUNTAS CON RESPUESTA POR ESCRITO"
"10L/PE-4549","10","Previsión de revisar los ratios del alumnado de la escuela de capacitación agraria de tacoronte este año, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","2022-02-16","En tramitación","Ordinario","","PREGUNTAS CON RESPUESTA POR ESCRITO"
